"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    get user data by user id
    ","505","test__user_by_id__GET_200","tests","2026-08-03","broken","2026-08-03","","test__users__user","",""
"
    Change device name by id
    ","499","test__devices_by_id__PUT_200","tests","2026-08-03","broken","2026-08-03","","test__devices","",""
"
    create new domain + first user
    check response

    response:
    {'access_token': 'access_token', 'token_type': 'Bearer'}
    ","529","test__auth__signup__POST_200","tests","2026-08-03","passed","2026-08-03","","test__auth","",""
"
    set system settings
    ","397","test__settings_id__PATCH_200","tests","2026-08-03","passed","2026-08-03","","test__settings","",""
"","471","test__call_center__preset_query_by_id__PATCH_200","tests","2026-08-03","passed","2026-08-03","","test__call_center__preset_query","",""
"
    get system settings by id
    ","417","test__settings_id__GET_200","tests","2026-08-03","passed","2026-08-03","","test__settings","",""
"
    force_password_change"": True
    ","0","test__users_id__force_change_password__PUT_200","tests","2026-08-03","skipped","2026-08-03","","test__users__users","",""
"","410","test__call_center__agents_by_id__skills__GET_200","tests","2026-08-03","passed","2026-08-03","","test__call_center__agents__skills","",""
"","434","test__call_center__skills__GET_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__skills","",""
"
    get system settings
    ","498","test__settings__GET_200","tests","2026-08-03","passed","2026-08-03","","test__settings","",""
"
    Create new device
    ","419","test__devices__POST_200","tests","2026-08-03","broken","2026-08-03","","test__devices","",""
"
    get user data
    ","457","test__user__GET_200","tests","2026-08-03","broken","2026-08-03","","test__users__user","",""
"
    Change device params by id
    ","417","test__devices_by_id__PATCH_200","tests","2026-08-03","broken","2026-08-03","","test__devices","",""
"","420","test__call_center__skills_by_id_agents__POST_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__skills","",""
"
    login with mobile mark
    ","243","test__auth__login_mobile__POST_200","tests","2026-08-03","passed","2026-08-03","","test__auth","",""
"
    get device by id
    ","429","test__devices_id_users_audit__GET_200","tests","2026-08-03","broken","2026-08-03","","test__devices","",""
"","419","test__call_center__lookups__agent__skills__GET_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__lookups","",""
"
    add new system setting
    ","0","test__settings__POST_200","tests","2026-08-03","skipped","2026-08-03","","test__settings","",""
"","416","test__call_center__agents_by_id__skills__PATCH_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__agents__skills","",""
"","681","test__call_center__agents_by_id__skills_by_id__DELETE_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__agents__skills","",""
"","986","test__call_center__preset_query_by_id__DELETE_200","tests","2026-08-03","passed","2026-08-03","","test__call_center__preset_query","",""
"
    add user
    ","448","test__users__add__POST_200","tests","2026-08-03","passed","2026-08-03","","test__users__users","",""
"
    delete devices
    ","686","test__devices_by_id__DELETE_200","tests","2026-08-03","broken","2026-08-03","","test__devices","",""
"","470","test__call_center__agents_by_id__skills_by_id__GET_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__agents__skills","",""
"","412","test__call_center__preset_query_by_id__GET_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__preset_query","",""
"","390","test__call_center__preset_query__GET_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__preset_query","",""
"","450","test__call_center__agents_by_id__skills__bulk__POST_200","tests","2026-08-03","passed","2026-08-03","","test__call_center__agents__skills","",""
"
    get users
    ","461","test__users__GET_200","tests","2026-08-03","broken","2026-08-03","","test__users__users","",""
"
    login without mobile mark
    ","258","test__auth__login__POST_200[without domain]","tests","2026-08-03","passed","2026-08-03","","test__auth","",""
"
    login without mobile mark
    ","240","test__auth__login__POST_200[with domain]","tests","2026-08-03","passed","2026-08-03","","test__auth","",""
"","414","test__call_center__skills_by_id__PUT_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__skills","",""
"
    get device by id
    ","428","test__devices_by_id__GET_200","tests","2026-08-03","broken","2026-08-03","","test__devices","",""
"","647","test__call_center__skills_by_id_agents__DELETE_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__skills","",""
"","415","test__call_center__preset_query_by_id__PUT_200","tests","2026-08-03","passed","2026-08-03","","test__call_center__preset_query","",""
"","451","test__call_center__skills_by_id_agents__PATCH_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__skills","",""
"
    change password in /users/id/general
    ","524","test__users_id__change_password__PUT_200","tests","2026-08-03","broken","2026-08-03","","test__users__users","",""
"
    {""id"":""login_id"",""totp"":""your_totp""}
    ","0","test__auth__2fa__POST_200","tests","2026-08-03","skipped","2026-08-03","","test__auth","",""
"
    get devices
    ","715","test__devices__GET_200","tests","2026-08-03","broken","2026-08-03","","test__devices","",""
"","412","test__call_center__agents_by_id__skills_by_id__PATCH_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__agents__skills","",""
"","414","test__call_center__skills__POST_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__skills","",""
"","414","test__call_center__preset_query__POST_200","tests","2026-08-03","passed","2026-08-03","","test__call_center__preset_query","",""
"
    change password in /settings/general
    ","465","test__users_id__change_password__PATCH_200","tests","2026-08-03","broken","2026-08-03","","test__users__users","",""
"","0","test__auth__login_password__POST_200","tests","2026-08-03","skipped","2026-08-03","","test__auth","",""
"","474","test__call_center__skills_by_id__GET_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__skills","",""
"
    login with new user on new domain
    ","258","test__auth__signin_with_new__POST_200","tests","2026-08-03","passed","2026-08-03","","test__auth","",""
"","428","test__call_center__skills_by_id_agents__GET_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__skills","",""
"
    get available system settings
    ","414","test__settings_available__GET_200","tests","2026-08-03","passed","2026-08-03","","test__settings","",""
"","409","test__call_center__agents_by_id__skills__POST_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__agents__skills","",""
"","410","test__call_center__agents_by_id__skills_by_id__PUT_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__agents__skills","",""
"","699","test__call_center__skills__delete_by_id__DELETE_200","tests","2026-08-03","broken","2026-08-03","","test__call_center__skills","",""
"
    change user password
    ","987","test__users__password__PUT_200","tests","2026-08-03","passed","2026-08-03","","test__users__users","",""
"
    set system settings
    ","465","test__settings_id__PUT_200","tests","2026-08-03","passed","2026-08-03","","test__settings","",""
"","410","test__call_center__agents_by_id__skills__DELETE_200","tests","2026-08-03","passed","2026-08-03","","test__call_center__agents__skills","",""
"
    DELETE system setting by id
    ","0","test__settings_id__DELETE_200","tests","2026-08-03","skipped","2026-08-03","","test__settings","",""
