"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"
    force_password_change"": True
    ","0","test__users_id__force_change_password__PUT_200","tests","Sun Jul 12 21:12:16 UTC 2026","skipped","Sun Jul 12 21:12:16 UTC 2026","","test__users__users","",""
"","377","test__call_center__preset_query__GET_200","tests","Sun Jul 12 21:12:15 UTC 2026","broken","Sun Jul 12 21:12:16 UTC 2026","","test__call_center__preset_query","",""
"
    change user password
    ","1181","test__users__password__PUT_200","tests","Sun Jul 12 21:12:14 UTC 2026","broken","Sun Jul 12 21:12:15 UTC 2026","","test__users__users","",""
"
    {""id"":""login_id"",""totp"":""your_totp""}
    ","0","test__auth__2fa__POST_200","tests","Sun Jul 12 21:12:14 UTC 2026","skipped","Sun Jul 12 21:12:14 UTC 2026","","test__auth","",""
"
    set system settings
    ","379","test__settings_id__PUT_200","tests","Sun Jul 12 21:12:19 UTC 2026","passed","Sun Jul 12 21:12:19 UTC 2026","","test__settings","",""
"","375","test__call_center__preset_query_by_id__PUT_200","tests","Sun Jul 12 21:12:14 UTC 2026","passed","Sun Jul 12 21:12:14 UTC 2026","","test__call_center__preset_query","",""
"","624","test__call_center__preset_query_by_id__DELETE_200","tests","Sun Jul 12 21:12:15 UTC 2026","passed","Sun Jul 12 21:12:15 UTC 2026","","test__call_center__preset_query","",""
"
    get user data
    ","424","test__user__GET_200","tests","Sun Jul 12 21:12:19 UTC 2026","broken","Sun Jul 12 21:12:19 UTC 2026","","test__users__user","",""
"
    login with new user on new domain
    ","0","test__auth__signin_with_new__POST_200","tests","Sun Jul 12 21:12:13 UTC 2026","broken","Sun Jul 12 21:12:13 UTC 2026","","test__auth","",""
"","394","test__call_center__preset_query_by_id__GET_200","tests","Sun Jul 12 21:12:16 UTC 2026","broken","Sun Jul 12 21:12:16 UTC 2026","","test__call_center__preset_query","",""
